0.577,4.36139,7.21771,16.615,0.727093,9.07318,1,
0.506,3.93647,7.22556,17.267,0.308403,2.88756,0,
0.6,4.37029,9.02885,14.239,0.4774,7.56656,1,
0.594,4.95107,5.22701,17.483,0.267676,2.64669,0,
0.643,4.95161,8.62905,36.674,0.254983,5.03555,0,
0.649,4.7907,8.40042,16.905,0.444805,3.79666,0,
0.664,4.92615,5.92752,17.148,0.427288,3.00444,0,
1.18,3.99187,9.30081,-1,-1,-1,0,
0.588,4.78807,4.79274,17.121,0.127329,1.96647,0,
-1,-1,-1,-1,-1,-1,0,
0.52,4.37656,5.05684,17.502,0.440357,4.92223,0,
0.539,3.48736,6.91539,16.002,0.218006,0.965416,0,
0.596,6.16883,7.43387,31.607,0.838645,19.105,0,
0.679,4.10309,9.01107,16.039,0.589875,5.92253,0,
0.584,4.36477,5.0175,16.785,0.460448,4.01372,0,
0.471,5.75758,5.04966,-1,-1,-1,0,
0.622,4.44819,8.97435,12.778,0.101053,5.55153,1,
0.569,4.5462,4.41311,16.102,0.326851,2.74783,0,
0.721,4.57605,8.24557,21.992,0.175867,4.64105,0,
1.039,4.65902,9.25291,12.922,0.631464,3.76153,1,
0.567,4.92817,4.85834,17.959,0.317651,3.293,0,
0.622,5.41457,6.91539,15.525,0.739986,4.87147,0,
0.742,4.42214,8.59996,18.072,0.23555,2.39782,0,
2.022,5.15452,8.50939,-1,-1,-1,0,
1.305,4.8272,8.27536,12.847,0.330923,4.58873,1,
0.644,4.9395,8.89394,14.603,0.350238,2.18024,0,
0.612,5.40064,5.2657,15.564,0.398332,2.58936,0,
1.754,4.35834,9.46457,-1,-1,-1,0,
0.562,4.80385,9.14474,15.746,0.461625,4.94975,0,
0.691,5.97349,8.29354,17.029,0.24184,2.18982,0,
0.876,4.76457,8.69233,18.206,0.731794,7.53328,1,
0.605,3.67997,5.57797,18.808,0.206345,2.59945,0,
0.509,5.15712,6.31761,-1,-1,-1,0,
0.596,5.58165,6.41233,17.248,0.537761,3.48234,0,
-1,-1,-1,-1,-1,-1,0,
0.498,4.49462,5.95852,-1,-1,-1,0,
0.566,5.38157,6.65839,16.661,0.572205,3.8306,0,
0.594,4.23236,7.76132,15.189,0.34537,2.31466,0,
1.155,4.34644,11.0194,-1,-1,-1,0,
0.579,4.11173,4.25,15.07,0.228118,2.49385,0,
0.536,4.75737,9.2387,14.595,0.801584,8.68762,1,
0.626,4.53207,9.01372,17.399,0.25782,3.1124,0,
0.746,4.40536,7.81485,16.308,0.0995075,1.15459,0,
0.651,4.36862,7.18704,16.942,0.871963,10.1984,0,
