1.115,6.04572,9.0257,-1,-1,-1,0,
-1,-1,-1,-1,-1,-1,0,
0.645,7.45129,8.15302,-1,-1,-1,0,
1.931,7.97848,8.07274,-1,-1,-1,0,
0.872,8.06965,7.89702,-1,-1,-1,0,
0.915,5.57074,9.12664,-1,-1,-1,0,
0.521,5.8878,7.60146,-1,-1,-1,0,
1.133,9.47241,8.85418,-1,-1,-1,0,
0.663,7.73912,8.385,-1,-1,-1,0,
1.272,6.38568,8.96632,-1,-1,-1,0,
1.364,8.04332,8.21166,-1,-1,-1,0,
0.639,7.22083,8.94667,-1,-1,-1,0,
1.377,9.47568,6.91539,-1,-1,-1,0,
0.98,8.78186,7.61998,-1,-1,-1,0,
1.272,9.38013,8.34095,-1,-1,-1,0,
0.631,6.6355,7.85387,-1,-1,-1,0,
0.571,6.93773,8.93888,-1,-1,-1,0,
0.633,7.71099,6.91539,-1,-1,-1,0,
0.542,7.06113,8.61721,-1,-1,-1,0,
1.022,7.51535,8.48661,-1,-1,-1,0,
0.851,7.22851,7.87255,-1,-1,-1,0,
0.585,5.45442,8.35206,-1,-1,-1,0,
0.535,6.12444,8.29055,-1,-1,-1,0,
0.57,6.18405,9.06305,-1,-1,-1,0,
0.729,7.31411,8.19248,9.85,1.42571,5.77072,1,
0.646,6.3995,8.84712,-1,-1,-1,0,
0.964,6.07679,8.50939,-1,-1,-1,0,
0.599,6.32053,8.53774,-1,-1,-1,0,
0.624,7.01694,7.60183,-1,-1,-1,0,
0.824,7.22157,8.78177,-1,-1,-1,0,
1.235,8.77591,8.60262,-1,-1,-1,0,
0.73,5.55684,8.21608,-1,-1,-1,0,
0.633,6.71858,6.91539,-1,-1,-1,0,
-1,-1,-1,-1,-1,-1,0,
0.628,7.01716,9.08487,-1,-1,-1,0,
0.707,6.38703,6.91539,-1,-1,-1,0,
0.779,7.99218,8.71171,-1,-1,-1,0,
1.348,6.74125,9.09065,-1,-1,-1,0,
0.801,7.75329,8.64999,-1,-1,-1,0,
0.629,7.32674,8.57614,-1,-1,-1,0,
0.805,6.9007,7.97747,-1,-1,-1,0,
-1,-1,-1,-1,-1,-1,0,
0.636,7.06045,8.71018,-1,-1,-1,0,
0.834,8.238,7.75944,-1,-1,-1,0,
-1,-1,-1,-1,-1,-1,0,
0.553,5.74177,8.57309,-1,-1,-1,0,
0.81,7.3916,7.60419,-1,-1,-1,0,
1.184,9.06662,8.0499,-1,-1,-1,0,
1.089,9.11812,7.68843,-1,-1,-1,0,
1.464,7.20434,8.17925,-1,-1,-1,0,
0.479,6.01413,8.51314,-1,-1,-1,0,
0.64,7.72042,9.09644,-1,-1,-1,0,
2.219,6.38095,9.09072,-1,-1,-1,0,
0.601,6.42056,7.64453,-1,-1,-1,0,
1.317,9.12304,8.90229,-1,-1,-1,0,
0.44,4.75255,7.73828,-1,-1,-1,0,
1.097,8.84275,8.87774,9.544,0.712615,4.63827,1,
0.819,7.98578,7.86839,-1,-1,-1,0,
0.949,8.2748,6.91539,-1,-1,-1,0,
0.657,6.4386,7.95314,-1,-1,-1,0,
1.218,9.3322,8.46359,-1,-1,-1,0,
1.073,8.00217,8.45308,-1,-1,-1,0,
0.838,8.08513,9.10446,-1,-1,-1,0,
0.668,7.08056,8.43885,-1,-1,-1,0,
0.865,7.14003,8.84629,-1,-1,-1,0,
0.593,7.29043,8.28865,-1,-1,-1,0,
0.413,4.63091,7.04856,-1,-1,-1,0,
0.448,5.92066,9.15147,-1,-1,-1,0,
0.816,7.68963,7.39085,-1,-1,-1,0,
1.05,8.66487,7.95798,9.677,1.32752,4.08005,1,
-1,-1,-1,-1,-1,-1,0,
0.461,5.79838,9.10692,-1,-1,-1,0,
1.095,7.95515,8.54827,-1,-1,-1,0,
0.683,7.59769,8.18299,-1,-1,-1,0,
0.496,6.0043,8.62109,-1,-1,-1,0,
0.85,7.41463,9.03929,-1,-1,-1,0,
1.317,8.31907,7.1029,-1,-1,-1,0,
1.032,8.39903,8.14673,-1,-1,-1,0,
1.034,7.83104,8.17687,-1,-1,-1,0,
0.927,6.57264,6.91539,-1,-1,-1,0,
0.386,5.4501,6.91538,-1,-1,-1,0,
0.723,7.75551,6.91539,-1,-1,-1,0,
1.544,8.66735,8.10691,-1,-1,-1,0,
0.585,6.61827,7.94279,-1,-1,-1,0,
0.798,8.05601,8.3248,10.021,1.22296,3.62593,1,
0.517,5.99935,8.34852,-1,-1,-1,0,
0.783,6.73321,9.08353,-1,-1,-1,0,
1.052,8.16189,7.57026,-1,-1,-1,0,
2.832,7.41851,8.50939,-1,-1,-1,0,
0.529,6.39398,8.33962,-1,-1,-1,0,
0.681,8.11496,7.82395,-1,-1,-1,0,
0.751,7.09519,8.90221,-1,-1,-1,0,
0.771,7.17926,8.96379,-1,-1,-1,0,
0.654,6.14372,8.58421,9.723,1.20591,4.28195,1,
1.044,8.37784,9.07026,-1,-1,-1,0,
0.98,8.26832,6.91539,-1,-1,-1,0,
-1,-1,-1,-1,-1,-1,0,
0.502,5.39015,9.10705,-1,-1,-1,0,
0.952,6.88765,11.0391,-1,-1,-1,0,
0.678,5.62971,8.89864,-1,-1,-1,0,
