base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
2.38873,0.215837,-1.05399,-1.87499,-0.277974,-0.350215,-2.5134,-1.7834,-3.14159
2.36549,0.244821,-1.06035,-1.88143,-0.26778,-0.331476,-2.50307,-1.77809,-3.07053
2.34225,0.273805,-1.06671,-1.88787,-0.257585,-0.312737,-2.49274,-1.77277,-2.99947
2.31901,0.302789,-1.07307,-1.8943,-0.247391,-0.293999,-2.48241,-1.76746,-2.92841
2.29576,0.331774,-1.07943,-1.90074,-0.237197,-0.27526,-2.47207,-1.76214,-2.85735
2.27252,0.360758,-1.08579,-1.90717,-0.227002,-0.256522,-2.46174,-1.75683,-2.78628
2.24928,0.389743,-1.09215,-1.91361,-0.216807,-0.237784,-2.45141,-1.75151,-2.71522
2.22603,0.418727,-1.09851,-1.92004,-0.206613,-0.219046,-2.44108,-1.7462,-2.64416
2.20279,0.447712,-1.10487,-1.92648,-0.196418,-0.200308,-2.43074,-1.74088,-2.5731
2.17954,0.476697,-1.11123,-1.93291,-0.186222,-0.181571,-2.42041,-1.73556,-2.50204
2.1563,0.505682,-1.11759,-1.93935,-0.176027,-0.162833,-2.41008,-1.73025,-2.43098
2.13305,0.534667,-1.12395,-1.94578,-0.165831,-0.144096,-2.39974,-1.72493,-2.35992
2.10981,0.563652,-1.13032,-1.95221,-0.155635,-0.125358,-2.38941,-1.71962,-2.28885
2.08656,0.592638,-1.13668,-1.95864,-0.145438,-0.106621,-2.37908,-1.7143,-2.21779
2.06332,0.621623,-1.14304,-1.96507,-0.135242,-0.0878844,-2.36874,-1.70899,-2.14673
2.04007,0.650609,-1.14941,-1.9715,-0.125045,-0.0691476,-2.35841,-1.70367,-2.07567
2.01683,0.679595,-1.15577,-1.97793,-0.114847,-0.0504109,-2.34807,-1.69836,-2.00461
1.99358,0.708581,-1.16214,-1.98436,-0.104649,-0.0316743,-2.33774,-1.69304,-1.93355
1.97034,0.737567,-1.1685,-1.99079,-0.0944512,-0.0129378,-2.32741,-1.68773,-1.86248
1.94709,0.766553,-1.17487,-1.99721,-0.0842527,0.0057987,-2.31707,-1.68241,-1.79142
1.92384,0.79554,-1.18124,-2.00364,-0.0740539,0.0245351,-2.30674,-1.6771,-1.72036
1.9006,0.824526,-1.18761,-2.01006,-0.0638546,0.0432715,-2.2964,-1.67178,-1.6493
1.87735,0.853513,-1.19398,-2.01649,-0.0536551,0.0620079,-2.28607,-1.66647,-1.57824
1.8541,0.8825,-1.20035,-2.02291,-0.0434552,0.0807443,-2.27574,-1.66115,-1.50718
1.83085,0.911487,-1.20672,-2.02933,-0.033255,0.0994806,-2.2654,-1.65584,-1.43611
1.80761,0.940475,-1.21309,-2.03575,-0.0230544,0.118217,-2.25507,-1.65052,-1.36505
1.78436,0.969462,-1.21947,-2.04217,-0.0128536,0.136953,-2.24473,-1.64521,-1.29399
1.76111,0.99845,-1.22584,-2.04858,-0.00265251,0.155689,-2.2344,-1.63989,-1.22293
1.73786,1.02744,-1.23222,-2.055,0.00754886,0.174425,-2.22406,-1.63458,-1.15187
1.71461,1.05643,-1.2386,-2.06141,0.0177505,0.19316,-2.21373,-1.62926,-1.0808
1.69136,1.08541,-1.24498,-2.06783,0.0279524,0.211896,-2.20339,-1.62395,-1.00974
1.66811,1.1144,-1.25136,-2.07424,0.0381545,0.23063,-2.19306,-1.61863,-0.938681
1.64486,1.14339,-1.25774,-2.08065,0.0483569,0.249365,-2.18272,-1.61332,-0.867619
1.62162,1.17238,-1.26412,-2.08706,0.0585596,0.268098,-2.17238,-1.608,-0.796557
1.59837,1.20137,-1.2705,-2.09346,0.068763,0.286831,-2.16205,-1.60269,-0.725495
1.57512,1.23036,-1.27689,-2.09987,0.078967,0.305562,-2.15171,-1.59737,-0.654434
1.55186,1.25934,-1.28328,-2.10628,0.0891721,0.324293,-2.14137,-1.59206,-0.583372
1.52861,1.28833,-1.28966,-2.11268,0.0993789,0.343022,-2.13103,-1.58674,-0.51231
1.50536,1.31732,-1.29605,-2.11908,0.109588,0.361749,-2.12069,-1.58143,-0.441248
1.48211,1.34631,-1.30244,-2.12548,0.1198,0.380474,-2.11035,-1.57611,-0.370186
1.45886,1.3753,-1.30884,-2.13188,0.130014,0.399197,-2.10001,-1.5708,-0.299124
