base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
0.611001,0.338413,-0.28715,-1.07416,-0.992138,1.001,-0.00885912,0.209486,-1.5708
0.654107,0.346301,-0.30099,-1.11231,-0.979888,0.977961,-0.0766155,0.173826,-1.61007
0.697008,0.353062,-0.327329,-1.13865,-0.964943,0.950638,-0.142776,0.137463,-1.64934
0.739908,0.359823,-0.353669,-1.165,-0.949999,0.923315,-0.208937,0.1011,-1.68861
0.782809,0.366584,-0.380008,-1.19134,-0.935054,0.895991,-0.275098,0.0647364,-1.72788
0.82571,0.373345,-0.406347,-1.21769,-0.92011,0.868668,-0.341259,0.028373,-1.76715
0.868611,0.380106,-0.432687,-1.24404,-0.905166,0.841345,-0.40742,-0.00799037,-1.80642
0.911511,0.386867,-0.459026,-1.27038,-0.890221,0.814022,-0.473581,-0.0443538,-1.84569
0.954412,0.393628,-0.485366,-1.29673,-0.875277,0.786699,-0.539742,-0.0807172,-1.88496
0.997313,0.400389,-0.511705,-1.32308,-0.860332,0.759376,-0.605903,-0.117081,-1.92423
1.04021,0.40715,-0.538045,-1.34942,-0.845388,0.732052,-0.672064,-0.153444,-1.9635
1.08311,0.41391,-0.564384,-1.37577,-0.830444,0.704729,-0.738225,-0.189808,-2.00277
1.12601,0.420671,-0.590724,-1.40212,-0.815499,0.677406,-0.804386,-0.226171,-2.04204
1.16892,0.427432,-0.617064,-1.42846,-0.800555,0.650083,-0.870547,-0.262535,-2.08131
1.21182,0.434193,-0.643404,-1.45481,-0.78561,0.62276,-0.936708,-0.298898,-2.12058
1.25472,0.440954,-0.669743,-1.48115,-0.770666,0.595436,-1.00287,-0.335262,-2.15985
1.29762,0.447714,-0.696083,-1.5075,-0.755722,0.568113,-1.06903,-0.371625,-2.19912
1.34052,0.454475,-0.722423,-1.53384,-0.740777,0.54079,-1.13519,-0.407989,-2.23839
1.38342,0.461236,-0.748763,-1.56019,-0.725833,0.513467,-1.20135,-0.444353,-2.27766
1.42632,0.467996,-0.775103,-1.58653,-0.710889,0.486144,-1.26751,-0.480717,-2.31693
1.46922,0.474757,-0.801443,-1.61288,-0.695944,0.45882,-1.33367,-0.517081,-2.3562
1.51212,0.481518,-0.827784,-1.63923,-0.681,0.431497,-1.39984,-0.553444,-2.39546
1.55502,0.488278,-0.854124,-1.66557,-0.666055,0.404174,-1.466,-0.589808,-2.43473
1.59792,0.495038,-0.880464,-1.69192,-0.651111,0.376851,-1.53216,-0.626172,-2.474
1.64082,0.501799,-0.906805,-1.71826,-0.636167,0.349528,-1.59832,-0.662537,-2.51327
1.68372,0.508559,-0.933146,-1.7446,-0.621222,0.322205,-1.66448,-0.698901,-2.55254
1.72662,0.51532,-0.959486,-1.77095,-0.606278,0.294881,-1.73064,-0.735265,-2.59181
1.76952,0.52208,-0.985827,-1.79729,-0.591333,0.267558,-1.7968,-0.771629,-2.63108
1.81242,0.52884,-1.01217,-1.82364,-0.576389,0.240235,-1.86296,-0.807993,-2.67035
1.85533,0.5356,-1.03851,-1.84998,-0.561445,0.212912,-1.92912,-0.844358,-2.70962
1.89823,0.542361,-1.06485,-1.87632,-0.5465,0.185589,-1.99528,-0.880722,-2.74889
1.94113,0.549121,-1.09119,-1.90267,-0.531556,0.158265,-2.06145,-0.917087,-2.78816
1.98403,0.555881,-1.11753,-1.92901,-0.516611,0.130942,-2.12761,-0.953451,-2.82743
2.02693,0.562641,-1.14387,-1.95535,-0.501667,0.103619,-2.19377,-0.989816,-2.8667
2.06983,0.569401,-1.17022,-1.9817,-0.486723,0.0762958,-2.25993,-1.02618,-2.90597
2.11273,0.57616,-1.19656,-2.00804,-0.471778,0.0489726,-2.32609,-1.06255,-2.94524
2.15563,0.58292,-1.2229,-2.03438,-0.456834,0.0216494,-2.39225,-1.09891,-2.98451
2.19853,0.58968,-1.24924,-2.06073,-0.441889,-0.00567375,-2.45841,-1.13528,-3.02378
2.24143,0.59644,-1.27558,-2.08707,-0.426945,-0.0329969,-2.52457,-1.17164,-3.06305
2.28433,0.603199,-1.30192,-2.11341,-0.412,-0.0603201,-2.59073,-1.20801,-3.10232
2.32723,0.609959,-1.32827,-2.13975,-0.397056,-0.0876433,-2.65689,-1.24437,-3.14159
