base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
1.61663,1.27936,-0.857851,-1.66938,-0.618157,0.658556,-1.28992,-1.99168,-0.88724
1.61246,1.2549,-0.861932,-1.67347,-0.617493,0.658284,-1.29428,-1.99366,-0.896093
1.60829,1.23045,-0.866013,-1.67755,-0.61683,0.658012,-1.29864,-1.99564,-0.904945
1.60413,1.206,-0.870094,-1.68163,-0.616166,0.657739,-1.303,-1.99762,-0.913798
1.59996,1.18154,-0.874175,-1.68571,-0.615503,0.657467,-1.30737,-1.9996,-0.92265
1.59579,1.15709,-0.878256,-1.68979,-0.614839,0.657195,-1.31173,-2.00157,-0.931503
1.59162,1.13263,-0.882336,-1.69387,-0.614176,0.656923,-1.31609,-2.00355,-0.940355
1.58745,1.10818,-0.886417,-1.69795,-0.613512,0.65665,-1.32045,-2.00553,-0.949208
1.58328,1.08372,-0.890498,-1.70203,-0.612849,0.656378,-1.32481,-2.00751,-0.95806
1.57911,1.05927,-0.894579,-1.70612,-0.612185,0.656106,-1.32917,-2.00948,-0.966913
1.57494,1.03482,-0.89866,-1.7102,-0.611522,0.655834,-1.33353,-2.01146,-0.975766
1.57078,1.01036,-0.902741,-1.71428,-0.610858,0.655561,-1.33789,-2.01344,-0.984618
1.56661,0.985907,-0.906821,-1.71836,-0.610194,0.655289,-1.34226,-2.01542,-0.993471
1.56244,0.961453,-0.910902,-1.72244,-0.609531,0.655017,-1.34662,-2.0174,-1.00232
1.55827,0.936999,-0.914983,-1.72652,-0.608867,0.654745,-1.35098,-2.01937,-1.01118
1.5541,0.912544,-0.919064,-1.7306,-0.608204,0.654472,-1.35534,-2.02135,-1.02003
1.54993,0.88809,-0.923145,-1.73468,-0.60754,0.6542,-1.3597,-2.02333,-1.02888
1.54576,0.863636,-0.927225,-1.73876,-0.606877,0.653928,-1.36406,-2.02531,-1.03773
1.54159,0.839182,-0.931306,-1.74285,-0.606213,0.653656,-1.36842,-2.02728,-1.04659
1.53742,0.814728,-0.935387,-1.74693,-0.60555,0.653383,-1.37278,-2.02926,-1.05544
1.53326,0.790273,-0.939468,-1.75101,-0.604886,0.653111,-1.37714,-2.03124,-1.06429
1.52909,0.765819,-0.943549,-1.75509,-0.604223,0.652839,-1.38151,-2.03322,-1.07314
1.52492,0.741365,-0.94763,-1.75917,-0.603559,0.652567,-1.38587,-2.03519,-1.082
1.52075,0.716911,-0.95171,-1.76325,-0.602896,0.652294,-1.39023,-2.03717,-1.09085
1.51658,0.692456,-0.955791,-1.76733,-0.602232,0.652022,-1.39459,-2.03915,-1.0997
1.51241,0.668002,-0.959872,-1.77141,-0.601569,0.65175,-1.39895,-2.04113,-1.10855
1.50824,0.643548,-0.963953,-1.77549,-0.600905,0.651477,-1.40331,-2.04311,-1.11741
1.50407,0.619094,-0.968034,-1.77958,-0.600242,0.651205,-1.40767,-2.04508,-1.12626
1.49991,0.59464,-0.972115,-1.78366,-0.599578,0.650933,-1.41203,-2.04706,-1.13511
1.49574,0.570185,-0.976195,-1.78774,-0.598914,0.650661,-1.4164,-2.04904,-1.14396
1.49157,0.545731,-0.980276,-1.79182,-0.598251,0.650388,-1.42076,-2.05102,-1.15282
1.4874,0.521277,-0.984357,-1.7959,-0.597587,0.650116,-1.42512,-2.05299,-1.16167
1.48323,0.496823,-0.988438,-1.79998,-0.596924,0.649844,-1.42948,-2.05497,-1.17052
1.47906,0.472369,-0.992519,-1.80406,-0.59626,0.649572,-1.43384,-2.05695,-1.17937
1.47489,0.447914,-0.9966,-1.80814,-0.595597,0.649299,-1.4382,-2.05893,-1.18823
1.47072,0.42346,-1.00068,-1.81223,-0.594933,0.649027,-1.44256,-2.06091,-1.19708
1.46655,0.399006,-1.00476,-1.81631,-0.59427,0.648755,-1.44692,-2.06288,-1.20593
1.46239,0.374552,-1.00884,-1.82039,-0.593606,0.648483,-1.45129,-2.06486,-1.21478
1.45822,0.350097,-1.01292,-1.82447,-0.592943,0.64821,-1.45565,-2.06684,-1.22364
1.45405,0.325643,-1.017,-1.82855,-0.592279,0.647938,-1.46001,-2.06882,-1.23249
1.44988,0.301189,-1.02108,-1.83263,-0.591616,0.647666,-1.46437,-2.07079,-1.24134
