base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
2,-2,0,1.57,-0.8678,-2.2043,-0.0347,1.6315,0
1.97321,-2.00794,0.0030845,1.54721,-0.841312,-2.17587,-0.011953,1.61226,2.85e-08
1.94641,-2.01587,0.006169,1.52442,-0.814823,-2.14743,0.010794,1.59301,5.7e-08
1.91962,-2.02381,0.0092535,1.50163,-0.788335,-2.119,0.0335411,1.57377,8.55e-08
1.89283,-2.03175,0.012338,1.47883,-0.761847,-2.09056,0.0562881,1.55452,1.14e-07
1.86603,-2.03969,0.0154225,1.45604,-0.735359,-2.06213,0.0790351,1.53528,1.43e-07
1.83924,-2.04763,0.018507,1.43325,-0.70887,-2.03369,0.101782,1.51603,1.71e-07
1.81245,-2.05556,0.0215915,1.41046,-0.682382,-2.00526,0.124529,1.49679,2e-07
1.78566,-2.0635,0.024676,1.38767,-0.655894,-1.97682,0.147276,1.47755,2.28e-07
1.75886,-2.07144,0.0277605,1.36488,-0.629406,-1.94839,0.170023,1.4583,2.57e-07
1.73207,-2.07938,0.030845,1.34209,-0.602917,-1.91995,0.19277,1.43906,2.85e-07
1.70528,-2.08731,0.0339295,1.31929,-0.576429,-1.89152,0.215517,1.41981,3.14e-07
1.67848,-2.09525,0.037014,1.2965,-0.549941,-1.86308,0.238264,1.40057,3.42e-07
1.65169,-2.10319,0.0400985,1.27371,-0.523452,-1.83465,0.261011,1.38132,3.71e-07
1.6249,-2.11112,0.043183,1.25092,-0.496964,-1.80621,0.283758,1.36208,3.99e-07
1.5981,-2.11906,0.0462675,1.22813,-0.470476,-1.77778,0.306505,1.34283,4.28e-07
1.57131,-2.127,0.049352,1.20534,-0.443988,-1.74934,0.329252,1.32359,4.56e-07
1.54452,-2.13494,0.0524365,1.18255,-0.417499,-1.72091,0.351999,1.30435,4.85e-07
1.51773,-2.14288,0.055521,1.15976,-0.391011,-1.69247,0.374746,1.2851,5.13e-07
1.49093,-2.15081,0.0586055,1.13696,-0.364523,-1.66404,0.397493,1.26586,5.42e-07
1.46414,-2.15875,0.06169,1.11417,-0.338035,-1.6356,0.420241,1.24661,5.7e-07
1.43735,-2.16669,0.0647745,1.09138,-0.311546,-1.60717,0.442988,1.22737,5.99e-07
1.41055,-2.17462,0.067859,1.06859,-0.285058,-1.57874,0.465735,1.20812,6.27e-07
1.38376,-2.18256,0.0709435,1.0458,-0.25857,-1.5503,0.488482,1.18888,6.56e-07
1.35697,-2.1905,0.074028,1.02301,-0.232081,-1.52187,0.511229,1.16963,6.84e-07
1.33017,-2.19844,0.0771125,1.00022,-0.205593,-1.49343,0.533976,1.15039,7.13e-07
1.30338,-2.20637,0.080197,0.977424,-0.179105,-1.465,0.556723,1.13115,7.41e-07
1.27659,-2.21431,0.0832815,0.954633,-0.152617,-1.43656,0.57947,1.1119,7.7e-07
1.2498,-2.22225,0.086366,0.931841,-0.126128,-1.40813,0.602217,1.09266,7.98e-07
1.223,-2.23019,0.0894505,0.90905,-0.09964,-1.37969,0.624964,1.07341,8.27e-07
1.19621,-2.23813,0.092535,0.886259,-0.0731518,-1.35126,0.647711,1.05417,8.55e-07
1.16942,-2.24606,0.0956195,0.863467,-0.0466635,-1.32282,0.670458,1.03492,8.84e-07
1.14262,-2.254,0.098704,0.840676,-0.0201752,-1.29439,0.693205,1.01568,9.12e-07
1.11583,-2.26194,0.101789,0.817885,0.00631307,-1.26595,0.715952,0.996436,9.41e-07
1.08904,-2.26987,0.104873,0.795093,0.0328013,-1.23752,0.738699,0.977191,9.69e-07
1.06224,-2.27781,0.107957,0.772302,0.0592896,-1.20908,0.761446,0.957947,9.98e-07
1.03545,-2.28575,0.111042,0.74951,0.0857779,-1.18065,0.784193,0.938702,1.03e-06
1.00866,-2.29369,0.114127,0.726719,0.112266,-1.15221,0.80694,0.919458,1.05e-06
0.981865,-2.30163,0.117211,0.703928,0.138754,-1.12378,0.829687,0.900214,1.08e-06
0.955072,-2.30956,0.120295,0.681136,0.165243,-1.09534,0.852434,0.880969,1.11e-06
0.928279,-2.3175,0.12338,0.658345,0.191731,-1.06691,0.875181,0.861725,1.14e-06
