base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
0.0746736,-1.69598,-0.0386247,-0.53825,-1.29147,0.760631,0.530836,0.993923,-3.14159
0.13122,-1.63146,-0.042956,-0.544776,-1.29713,0.750908,0.519343,1.01153,-3.14157
0.181452,-1.56031,-0.0467262,-0.548369,-1.30035,0.737897,0.508706,1.03263,-3.14155
0.222079,-1.4832,-0.0504973,-0.551962,-1.30358,0.724887,0.49807,1.05373,-3.14152
0.258454,-1.4035,-0.0542692,-0.555555,-1.30681,0.711876,0.487433,1.07483,-3.1415
0.293033,-1.32271,-0.058041,-0.559149,-1.31004,0.698865,0.476797,1.09593,-3.14148
0.326962,-1.24153,-0.0618124,-0.562743,-1.31327,0.685854,0.46616,1.11704,-3.14146
0.360663,-1.16022,-0.0655832,-0.566338,-1.3165,0.672843,0.455524,1.13814,-3.14143
0.394288,-1.07886,-0.0693532,-0.569934,-1.31972,0.659832,0.444887,1.15924,-3.14141
0.427889,-0.997488,-0.0731223,-0.573531,-1.32295,0.646822,0.434251,1.18034,-3.14139
0.461478,-0.916109,-0.0768906,-0.577129,-1.32618,0.633812,0.423614,1.20145,-3.14137
0.495053,-0.834722,-0.0806584,-0.580729,-1.32939,0.620805,0.412977,1.22255,-3.14134
0.528589,-0.753314,-0.0844269,-0.584332,-1.33258,0.607807,0.402338,1.24365,-3.14132
0.562003,-0.671842,-0.0881984,-0.58794,-1.33568,0.594837,0.391694,1.26475,-3.1413
0.595043,-0.590177,-0.0919808,-0.591563,-1.33852,0.581953,0.381034,1.28585,-3.14128
0.626995,-0.50799,-0.0957728,-0.595198,-1.34061,0.569316,0.370329,1.30693,-3.14128
0.655866,-0.424314,-0.0996,-0.598872,-1.34055,0.557377,0.359493,1.32797,-3.1413
0.677059,-0.337679,-0.103037,-0.60216,-1.33549,0.547084,0.348347,1.34873,-3.14137
0.679739,-0.243143,-0.10603,-0.605007,-1.31804,0.540852,0.336444,1.36897,-3.14159
0.65792,-0.154647,-0.097875,-0.596711,-1.29127,0.537882,0.323842,1.38478,-3.14159
0.623123,-0.0695237,-0.0837463,-0.582448,-1.25996,0.536524,0.310957,1.39821,-3.14159
0.582866,0.0145436,-0.0669772,-0.56555,-1.22683,0.535815,0.297954,1.41059,-3.14159
0.540441,0.0982062,-0.0492072,-0.547656,-1.19304,0.535346,0.28491,1.42259,-3.14159
0.496927,0.181464,-0.0310775,-0.529408,-1.15902,0.53496,0.271852,1.43444,-3.14159
0.45211,0.26377,-0.0128247,-0.511041,-1.12493,0.534603,0.258789,1.44624,-3.14159
0.404449,0.343578,0.00547026,-0.492637,-1.0908,0.534255,0.245724,1.45803,-3.14159
0.350018,0.41724,0.0237814,-0.474224,-1.05668,0.533911,0.232659,1.46982,-3.14159
0.283854,0.478912,0.042097,-0.455809,-1.02255,0.533568,0.219593,1.4816,-3.14159
0.20673,0.526875,0.0604141,-0.437396,-0.988416,0.533226,0.206526,1.49338,-3.14159
0.120913,0.558662,0.0787392,-0.418985,-0.954286,0.532885,0.19346,1.50516,-3.14159
0.0283165,0.575011,0.097074,-0.400576,-0.920156,0.532545,0.180392,1.51695,-3.14159
-0.0672382,0.583774,0.115415,-0.382171,-0.886027,0.532206,0.167325,1.52873,-3.14159
-0.163984,0.589429,0.13376,-0.363768,-0.851899,0.531868,0.154257,1.54051,-3.14159
-0.261156,0.593934,0.152108,-0.345367,-0.817771,0.531531,0.141188,1.5523,-3.14159
-0.358476,0.598035,0.17046,-0.32697,-0.783644,0.531195,0.128119,1.56408,-3.14159
-0.455844,0.602,0.188815,-0.308575,-0.749518,0.53086,0.11505,1.57586,-3.14159
-0.553228,0.605919,0.207172,-0.290184,-0.715392,0.530527,0.101979,1.58765,-3.14159
-0.650617,0.60982,0.225533,-0.271795,-0.681267,0.530194,0.0889086,1.59943,-3.14159
-0.748008,0.613714,0.243896,-0.253409,-0.647143,0.529863,0.0758373,1.61122,-3.14159
-0.845399,0.617604,0.262262,-0.235025,-0.61302,0.529534,0.0627654,1.623,-3.14159
-0.942791,0.621493,0.28063,-0.216643,-0.578897,0.529205,0.0496932,1.63478,-3.14159
