base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
1.44988,0.301189,-1.02108,-1.83263,-0.591616,0.647666,-1.46437,-2.07079,-1.24134
1.47203,0.298004,-1.01693,-1.83794,-0.577414,0.610112,-1.48423,-2.06351,-1.28801
1.49554,0.295901,-1.01788,-1.8389,-0.569916,0.585398,-1.51064,-2.05634,-1.33551
1.51905,0.293798,-1.01884,-1.83985,-0.562418,0.560684,-1.53704,-2.04917,-1.38302
1.54256,0.291696,-1.01979,-1.8408,-0.554921,0.535969,-1.56345,-2.042,-1.43052
1.56607,0.289593,-1.02074,-1.84176,-0.547424,0.511254,-1.58985,-2.03483,-1.47803
1.58958,0.287491,-1.0217,-1.84271,-0.539928,0.48654,-1.61626,-2.02766,-1.52554
1.6131,0.285389,-1.02265,-1.84366,-0.532431,0.461825,-1.64267,-2.02049,-1.57304
1.63661,0.283286,-1.0236,-1.84462,-0.524934,0.43711,-1.66907,-2.01332,-1.62055
1.66012,0.281184,-1.02456,-1.84557,-0.517438,0.412395,-1.69548,-2.00615,-1.66806
1.68363,0.279082,-1.02551,-1.84652,-0.509941,0.387681,-1.72188,-1.99898,-1.71556
1.70714,0.276979,-1.02646,-1.84748,-0.502445,0.362966,-1.74829,-1.99181,-1.76307
1.73065,0.274877,-1.02742,-1.84843,-0.494949,0.338251,-1.77469,-1.98464,-1.81058
1.75416,0.272775,-1.02837,-1.84938,-0.487453,0.313536,-1.8011,-1.97747,-1.85808
1.77767,0.270672,-1.02932,-1.85033,-0.479958,0.288821,-1.8275,-1.9703,-1.90559
1.80118,0.268569,-1.03027,-1.85129,-0.472465,0.264105,-1.8539,-1.96313,-1.9531
1.82469,0.266466,-1.03123,-1.85224,-0.464978,0.239388,-1.8803,-1.95594,-2.0006
1.8482,0.264362,-1.03217,-1.85318,-0.457496,0.214669,-1.9067,-1.94876,-2.04811
1.8717,0.262255,-1.03312,-1.85413,-0.45002,0.189949,-1.9331,-1.94156,-2.09561
1.8952,0.260147,-1.03407,-1.85508,-0.442547,0.165228,-1.95949,-1.93437,-2.14312
1.91871,0.258037,-1.03502,-1.85603,-0.435077,0.140506,-1.98589,-1.92717,-2.19062
1.94221,0.255927,-1.03597,-1.85698,-0.427608,0.115784,-2.01228,-1.91997,-2.23813
1.96571,0.253816,-1.03692,-1.85793,-0.420139,0.0910624,-2.03868,-1.91277,-2.28564
1.98921,0.251706,-1.03787,-1.85887,-0.41267,0.0663406,-2.06507,-1.90557,-2.33314
2.01271,0.249596,-1.03881,-1.85982,-0.405201,0.0416187,-2.09146,-1.89837,-2.38065
2.03622,0.247486,-1.03976,-1.86077,-0.397733,0.0168968,-2.11785,-1.89118,-2.42816
2.05972,0.245376,-1.04071,-1.86172,-0.390264,-0.00782506,-2.14425,-1.88398,-2.47566
2.08322,0.243265,-1.04166,-1.86267,-0.382796,-0.032547,-2.17064,-1.87677,-2.52317
2.10672,0.241155,-1.04261,-1.86361,-0.375328,-0.0572689,-2.19703,-1.86957,-2.57067
2.13022,0.239045,-1.04356,-1.86456,-0.367858,-0.0819899,-2.22343,-1.86237,-2.61818
2.15372,0.236935,-1.0445,-1.86551,-0.360381,-0.106708,-2.24982,-1.85517,-2.66569
2.17722,0.234825,-1.04545,-1.86646,-0.352883,-0.131415,-2.27621,-1.84797,-2.7132
2.20072,0.232715,-1.0464,-1.86741,-0.345324,-0.156094,-2.3026,-1.84077,-2.76071
2.22423,0.230605,-1.04735,-1.86835,-0.337618,-0.180702,-2.32898,-1.83358,-2.80825
2.24773,0.228495,-1.0483,-1.8693,-0.329552,-0.205138,-2.35535,-1.8264,-2.85582
2.27123,0.226385,-1.04925,-1.87025,-0.321131,-0.229402,-2.3817,-1.81923,-2.90343
2.29473,0.224276,-1.0502,-1.8712,-0.312564,-0.253596,-2.40805,-1.81206,-2.95106
2.31823,0.222166,-1.05115,-1.87215,-0.303937,-0.27776,-2.43439,-1.8049,-2.99869
2.34173,0.220056,-1.05209,-1.8731,-0.295289,-0.301915,-2.46073,-1.79773,-3.04632
2.36523,0.217946,-1.05304,-1.87404,-0.286633,-0.326065,-2.48706,-1.79057,-3.09396
2.38873,0.215837,-1.05399,-1.87499,-0.277974,-0.350215,-2.5134,-1.7834,-3.14159
