base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
0.94407,-2.61758,0.348791,0.197814,0.201759,-0.934344,0.732586,0.546605,-3.14159
0.929585,-2.57515,0.336694,0.18655,0.175814,-0.930653,0.745734,0.572839,-3.14138
0.92347,-2.54184,0.316483,0.166209,0.14987,-0.926964,0.758882,0.58188,-3.14116
0.917354,-2.50854,0.296272,0.145867,0.123926,-0.923274,0.77203,0.590921,-3.14094
0.911238,-2.47523,0.27606,0.125526,0.0979824,-0.919585,0.785178,0.599962,-3.14072
0.905122,-2.44193,0.255848,0.105186,0.0720389,-0.915896,0.798327,0.609003,-3.1405
0.899006,-2.40863,0.235636,0.0848456,0.0460954,-0.912207,0.811475,0.618045,-3.14029
0.89289,-2.37532,0.215423,0.0645063,0.0201522,-0.908517,0.824624,0.627087,-3.14007
0.886772,-2.34202,0.19521,0.0441679,-0.00579051,-0.904828,0.837772,0.63613,-3.13985
0.880651,-2.30871,0.174997,0.0238307,-0.031732,-0.901139,0.850921,0.645173,-3.13963
0.874516,-2.27542,0.154785,0.00349608,-0.0576694,-0.897446,0.864068,0.654218,-3.13942
0.86834,-2.24214,0.134577,-0.0168325,-0.0835945,-0.893745,0.87721,0.663267,-3.1392
0.862038,-2.20893,0.114384,-0.0371443,-0.109482,-0.890016,0.89034,0.67233,-3.13899
0.855371,-2.1759,0.0942419,-0.0574024,-0.135259,-0.886207,0.903432,0.681426,-3.13878
0.847671,-2.1434,0.0742449,-0.0775134,-0.160727,-0.882169,0.916416,0.69062,-3.1386
0.837418,-2.11239,0.0547482,-0.0971215,-0.185426,-0.877564,0.92914,0.700024,-3.13848
0.821029,-2.08473,0.0362905,-0.115688,-0.208281,-0.871597,0.941233,0.709964,-3.1385
0.79695,-2.06511,0.0222526,-0.12983,-0.228764,-0.863857,0.952726,0.719896,-3.13857
0.769749,-2.04869,0.00995366,-0.14223,-0.248286,-0.855399,0.963972,0.729836,-3.13868
0.74122,-2.03368,-0.0015603,-0.153841,-0.267397,-0.846635,0.975116,0.73977,-3.13879
0.712224,-2.01917,-0.0127989,-0.165173,-0.286364,-0.837763,0.986224,0.749703,-3.13891
0.683063,-2.00483,-0.0239397,-0.176404,-0.305279,-0.828853,0.99732,0.759635,-3.13903
0.653848,-1.99055,-0.0350494,-0.1876,-0.324178,-0.819932,1.00841,0.769568,-3.13915
0.624616,-1.97629,-0.0461501,-0.198784,-0.343072,-0.811007,1.0195,0.779502,-3.13927
0.595379,-1.96204,-0.0572489,-0.209962,-0.361963,-0.802082,1.0306,0.789436,-3.13939
0.566139,-1.94779,-0.0683482,-0.221137,-0.380853,-0.793156,1.04169,0.799371,-3.13951
0.536896,-1.93353,-0.0794486,-0.232309,-0.399739,-0.784229,1.05278,0.809308,-3.13963
0.507645,-1.91928,-0.0905503,-0.243478,-0.418615,-0.775298,1.06388,0.819246,-3.13975
0.478372,-1.90503,-0.101653,-0.254644,-0.437461,-0.766352,1.07497,0.829186,-3.13987
0.449032,-1.89077,-0.112755,-0.265805,-0.456215,-0.75736,1.08609,0.839129,-3.14
0.419504,-1.87652,-0.123854,-0.276959,-0.474712,-0.748239,1.09724,0.849083,-3.14012
0.389514,-1.86226,-0.134941,-0.288096,-0.492511,-0.738763,1.10849,0.859055,-3.14025
0.358411,-1.848,-0.145998,-0.299199,-0.508705,-0.728471,1.11999,0.869076,-3.14039
0.325967,-1.83375,-0.157013,-0.310256,-0.521481,-0.71646,1.13225,0.87911,-3.14053
0.292978,-1.81949,-0.168012,-0.321292,-0.532892,-0.703763,1.14482,0.889151,-3.14068
0.259759,-1.80523,-0.179006,-0.332317,-0.543702,-0.690764,1.15752,0.899194,-3.14083
0.226458,-1.79097,-0.189998,-0.343337,-0.554301,-0.677659,1.17026,0.90924,-3.14099
0.193129,-1.77671,-0.200991,-0.354354,-0.564823,-0.664518,1.18303,0.919286,-3.14114
0.15979,-1.76245,-0.211985,-0.365367,-0.575321,-0.651365,1.1958,0.929334,-3.14129
0.126448,-1.74819,-0.222981,-0.376377,-0.58581,-0.638209,1.20857,0.939383,-3.14144
0.093106,-1.73393,-0.233978,-0.387386,-0.596296,-0.625052,1.22135,0.949433,-3.14159
