base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
2.32723,0.609959,-1.32827,-2.13975,-0.397056,-0.0876433,-2.65689,-1.24437,-3.14159
2.2986,0.618778,-1.31389,-2.12537,-0.402772,-0.0660466,-2.6177,-1.25989,-3.09206
2.26997,0.627597,-1.29951,-2.111,-0.408446,-0.044429,-2.57851,-1.27542,-3.04254
2.24134,0.636416,-1.28514,-2.09662,-0.413989,-0.0227462,-2.53931,-1.29095,-2.99303
2.21271,0.645237,-1.27076,-2.08225,-0.419242,-0.000918987,-2.5001,-1.30649,-2.94356
2.18409,0.654066,-1.25638,-2.06787,-0.423759,0.0212724,-2.46087,-1.32205,-2.89418
2.1555,0.662917,-1.24201,-2.05351,-0.427992,0.0435975,-2.42165,-1.33764,-2.84481
2.12698,0.671838,-1.22767,-2.03916,-0.43212,0.0659491,-2.38247,-1.35326,-2.79539
2.09869,0.680956,-1.21338,-2.02487,-0.436275,0.0882148,-2.34341,-1.36896,-2.74577
2.07101,0.690634,-1.19925,-2.01075,-0.440619,0.110181,-2.30473,-1.38491,-2.69558
2.04475,0.701572,-1.18552,-1.99702,-0.445425,0.131443,-2.26692,-1.40142,-2.64407
2.02205,0.715684,-1.17275,-1.98425,-0.451399,0.150944,-2.23124,-1.41933,-2.58926
2.0013,0.731088,-1.16076,-1.97227,-0.458006,0.169473,-2.19676,-1.43807,-2.53297
1.98141,0.747064,-1.14911,-1.96062,-0.464884,0.187585,-2.16279,-1.45718,-2.47603
1.96183,0.763243,-1.13759,-1.9491,-0.471865,0.205539,-2.12902,-1.47642,-2.41885
1.94237,0.779496,-1.12612,-1.93763,-0.478882,0.223436,-2.09531,-1.49571,-2.36159
1.92296,0.795779,-1.11466,-1.92618,-0.485909,0.241314,-2.06163,-1.51501,-2.3043
1.9036,0.81209,-1.10322,-1.91473,-0.492933,0.259183,-2.02796,-1.53433,-2.24699
1.88433,0.82846,-1.09179,-1.9033,-0.499937,0.277043,-1.99432,-1.55366,-2.18965
1.86533,0.844995,-1.08038,-1.8919,-0.506881,0.294881,-1.96074,-1.57301,-2.13223
1.84698,0.861925,-1.06906,-1.88057,-0.51368,0.312667,-1.92732,-1.59244,-2.07462
1.83028,0.879847,-1.05792,-1.86944,-0.520112,0.330325,-1.89429,-1.61202,-2.01653
1.81542,0.898855,-1.04698,-1.8585,-0.526119,0.347848,-1.86169,-1.63176,-1.95794
1.80264,0.919036,-1.03628,-1.8478,-0.53164,0.365228,-1.82955,-1.65165,-1.89886
1.79102,0.939855,-1.02571,-1.83723,-0.53689,0.382529,-1.79765,-1.67161,-1.83951
1.77987,0.960937,-1.01519,-1.82671,-0.542028,0.399797,-1.76587,-1.6916,-1.78004
1.7689,0.982118,-1.00469,-1.81621,-0.547123,0.417054,-1.73412,-1.7116,-1.72054
1.758,1.00333,-0.994197,-1.80572,-0.552204,0.434306,-1.70238,-1.73161,-1.66103
1.74712,1.02456,-0.983708,-1.79524,-0.557279,0.451556,-1.67065,-1.75161,-1.60151
1.73624,1.04579,-0.97322,-1.78475,-0.562353,0.468807,-1.63893,-1.77162,-1.54199
1.72537,1.06703,-0.962731,-1.77426,-0.567426,0.486057,-1.6072,-1.79162,-1.48246
1.71449,1.08826,-0.952243,-1.76377,-0.572499,0.503307,-1.57547,-1.81163,-1.42294
1.70362,1.10949,-0.941755,-1.75329,-0.577572,0.520557,-1.54374,-1.83164,-1.36342
1.69275,1.13072,-0.931267,-1.7428,-0.582645,0.537806,-1.51201,-1.85164,-1.3039
1.68187,1.15196,-0.920779,-1.73231,-0.587718,0.555056,-1.48029,-1.87165,-1.24437
1.671,1.17319,-0.910291,-1.72182,-0.592792,0.572306,-1.44856,-1.89165,-1.18485
1.66013,1.19442,-0.899803,-1.71134,-0.597865,0.589556,-1.41683,-1.91166,-1.12533
1.64925,1.21566,-0.889315,-1.70085,-0.602938,0.606806,-1.3851,-1.93167,-1.06581
1.63838,1.23689,-0.878827,-1.69036,-0.608011,0.624056,-1.35338,-1.95167,-1.00628
1.62751,1.25812,-0.868339,-1.67987,-0.613084,0.641306,-1.32165,-1.97168,-0.946762
1.61663,1.27936,-0.857851,-1.66938,-0.618157,0.658556,-1.28992,-1.99168,-0.88724
