base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
-0.0762821,-1.90507,0.501316,0.350701,0.167766,-1.00922,0.839781,-0.637987,0.00292891
-0.0485922,-1.88827,0.488493,0.337864,0.165851,-1.01109,0.838792,-0.611616,-0.0758157
-0.0209006,-1.87146,0.475671,0.32503,0.163938,-1.01297,0.837803,-0.585245,-0.15456
0.00679663,-1.85467,0.462856,0.3122,0.162025,-1.01484,0.836814,-0.558873,-0.233305
0.0345112,-1.8379,0.450057,0.299388,0.160116,-1.01672,0.835825,-0.5325,-0.312049
0.0622787,-1.82119,0.437312,0.28663,0.158209,-1.01859,0.834836,-0.506121,-0.390793
0.090195,-1.8047,0.424719,0.274024,0.156308,-1.02046,0.833846,-0.479725,-0.469537
0.118533,-1.78877,0.412561,0.261853,0.154413,-1.02233,0.832852,-0.45328,-0.548277
0.147824,-1.77436,0.401451,0.25073,0.152546,-1.02417,0.83184,-0.426695,-0.62701
0.179509,-1.76349,0.392889,0.242155,0.150717,-1.02597,0.830796,-0.399795,-0.705725
0.212239,-1.75896,0.386946,0.2362,0.149326,-1.02715,0.829469,-0.372054,-0.784394
0.245423,-1.75703,0.382099,0.231341,0.148115,-1.02808,0.828027,-0.343972,-0.863045
0.278759,-1.75644,0.37777,0.226999,0.14701,-1.02888,0.826522,-0.315712,-0.941686
0.312109,-1.75689,0.373803,0.22302,0.146,-1.02955,0.824961,-0.287315,-1.02032
0.345346,-1.75902,0.37036,0.219565,0.145152,-1.03,0.823301,-0.258699,-1.09894
0.378202,-1.76518,0.368129,0.217323,0.144692,-1.02992,0.821397,-0.229556,-1.17754
0.410035,-1.77485,0.366581,0.215763,0.144638,-1.02927,0.819223,-0.199958,-1.25613
0.439299,-1.79083,0.365862,0.215033,0.145374,-1.02751,0.816508,-0.169548,-1.3347
0.466443,-1.81112,0.365256,0.214415,0.146633,-1.02501,0.813426,-0.138647,-1.41326
0.492629,-1.83502,0.364697,0.213847,0.148131,-1.02218,0.810182,-0.107541,-1.49182
0.518206,-1.86496,0.364127,0.213266,0.149766,-1.01917,0.806846,-0.0763616,-1.57038
0.543074,-1.89822,0.363511,0.21264,0.151542,-1.01596,0.803418,-0.0451684,-1.64894
0.566423,-1.93383,0.362771,0.211891,0.15359,-1.01237,0.799803,-0.0140015,-1.7275
0.589061,-1.97042,0.361986,0.211097,0.155783,-1.00859,0.796114,0.017154,-1.80606
0.611156,-2.00756,0.361188,0.21029,0.158107,-1.00464,0.792393,0.0483039,-1.88462
0.632437,-2.04533,0.360405,0.2095,0.160655,-1.00041,0.788661,0.0794515,-1.96319
0.6534,-2.08334,0.359629,0.208716,0.163297,-0.996075,0.784924,0.110598,-2.04175
0.674225,-2.12145,0.358856,0.207936,0.165984,-0.991688,0.781187,0.141744,-2.12031
0.695002,-2.1596,0.358084,0.207157,0.168694,-0.987284,0.777448,0.17289,-2.19887
0.715764,-2.19776,0.357311,0.206378,0.171416,-0.982875,0.77371,0.204035,-2.27743
0.73652,-2.23592,0.356539,0.205599,0.174148,-0.978464,0.769972,0.235179,-2.35599
0.757274,-2.27408,0.355766,0.204821,0.176887,-0.974052,0.766233,0.266324,-2.43455
0.778028,-2.31225,0.354993,0.204042,0.179633,-0.96964,0.762495,0.297468,-2.51311
0.798783,-2.35042,0.354219,0.203264,0.182385,-0.965228,0.758756,0.328611,-2.59167
0.819537,-2.38858,0.353445,0.202485,0.185143,-0.960816,0.755018,0.359754,-2.67023
0.840292,-2.42675,0.35267,0.201707,0.187905,-0.956404,0.751279,0.390897,-2.74879
0.861048,-2.46492,0.351895,0.200928,0.190671,-0.951992,0.747541,0.422039,-2.82735
0.881803,-2.50308,0.35112,0.20015,0.19344,-0.94758,0.743802,0.453181,-2.90591
0.902559,-2.54125,0.350344,0.199371,0.196212,-0.943168,0.740063,0.484323,-2.98447
0.923314,-2.57942,0.349567,0.198593,0.198985,-0.938756,0.736325,0.515464,-3.06303
0.94407,-2.61758,0.348791,0.197814,0.201759,-0.934344,0.732586,0.546605,-3.14159
