base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
-0.942791,0.621493,0.28063,-0.216643,-0.578897,0.529205,0.0496932,1.63478,-3.14159
-0.934729,0.634782,0.283248,-0.195576,-0.576658,0.518292,0.0584161,1.62047,-3.10232
-0.926668,0.648072,0.285865,-0.174509,-0.57442,0.507379,0.0671389,1.60615,-3.06305
-0.918606,0.661361,0.288483,-0.153442,-0.572184,0.496464,0.0758616,1.59184,-3.02378
-0.910544,0.67465,0.2911,-0.132375,-0.569951,0.485548,0.0845841,1.57752,-2.98451
-0.902483,0.687939,0.293718,-0.111307,-0.567721,0.474631,0.0933063,1.56321,-2.94524
-0.894421,0.701229,0.296336,-0.0902403,-0.565496,0.46371,0.102028,1.54889,-2.90597
-0.886359,0.714518,0.298953,-0.0691732,-0.563276,0.452788,0.11075,1.53458,-2.8667
-0.878297,0.727807,0.301571,-0.048106,-0.56106,0.441863,0.119471,1.52026,-2.82743
-0.870235,0.741096,0.304188,-0.0270389,-0.558849,0.430935,0.128192,1.50595,-2.78816
-0.862174,0.754386,0.306806,-0.00597171,-0.556642,0.420005,0.136912,1.49163,-2.74889
-0.854112,0.767675,0.309424,0.0150955,-0.554436,0.409075,0.145632,1.47732,-2.70962
-0.84605,0.780964,0.312041,0.0361626,-0.552231,0.398144,0.154352,1.463,-2.67035
-0.837988,0.794253,0.314659,0.0572298,-0.550026,0.387213,0.163072,1.44869,-2.63108
-0.829926,0.807543,0.317277,0.078297,-0.547821,0.376282,0.171793,1.43437,-2.59181
-0.821864,0.820832,0.319894,0.0993642,-0.545617,0.365351,0.180513,1.42006,-2.55254
-0.813802,0.834121,0.322512,0.120431,-0.543413,0.35442,0.189233,1.40574,-2.51327
-0.80574,0.84741,0.32513,0.141499,-0.541209,0.343488,0.197953,1.39142,-2.474
-0.797679,0.8607,0.327747,0.162566,-0.539005,0.332557,0.206673,1.37711,-2.43473
-0.789617,0.873989,0.330365,0.183633,-0.536802,0.321625,0.215393,1.36279,-2.39546
-0.781555,0.887278,0.332983,0.2047,-0.534598,0.310694,0.224113,1.34848,-2.35619
-0.773493,0.900567,0.3356,0.225767,-0.532395,0.299762,0.232833,1.33416,-2.31692
-0.765431,0.913857,0.338218,0.246834,-0.530192,0.28883,0.241553,1.31985,-2.27765
-0.757369,0.927146,0.340836,0.267902,-0.527989,0.277898,0.250273,1.30553,-2.23838
-0.749307,0.940435,0.343454,0.288969,-0.525787,0.266966,0.258992,1.29122,-2.19911
-0.741245,0.953724,0.346071,0.310036,-0.523584,0.256034,0.267712,1.2769,-2.15984
-0.733183,0.967014,0.348689,0.331103,-0.521382,0.245102,0.276432,1.26259,-2.12057
-0.725122,0.980303,0.351307,0.35217,-0.519179,0.23417,0.285152,1.24827,-2.08131
-0.71706,0.993592,0.353924,0.373238,-0.516977,0.223237,0.293872,1.23396,-2.04204
-0.708998,1.00688,0.356542,0.394305,-0.514775,0.212305,0.302592,1.21964,-2.00277
-0.700936,1.02017,0.35916,0.415372,-0.512573,0.201373,0.311312,1.20533,-1.9635
-0.692874,1.03346,0.361777,0.436439,-0.510371,0.19044,0.320031,1.19101,-1.92423
-0.684812,1.04675,0.364395,0.457506,-0.508169,0.179508,0.328751,1.1767,-1.88496
-0.67675,1.06004,0.367013,0.478574,-0.505967,0.168575,0.337471,1.16238,-1.84569
-0.668688,1.07333,0.36963,0.499641,-0.503766,0.157643,0.346191,1.14807,-1.80642
-0.660627,1.08662,0.372248,0.520708,-0.501564,0.14671,0.354911,1.13375,-1.76715
-0.652565,1.09991,0.374866,0.541775,-0.499362,0.135777,0.36363,1.11944,-1.72788
-0.644503,1.1132,0.377483,0.562842,-0.497161,0.124845,0.37235,1.10512,-1.68861
-0.636441,1.12649,0.380101,0.58391,-0.494959,0.113912,0.38107,1.09081,-1.64934
-0.628379,1.13977,0.382719,0.604977,-0.492757,0.102979,0.38979,1.07649,-1.61007
-0.620317,1.15306,0.385337,0.626044,-0.490556,0.0920466,0.398509,1.06218,-1.5708
