base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
-0.331529,0.607218,0.264,-0.237311,-1.13584,1.22037,-0.0845283,0.077484,-1.5708
-0.262541,0.606725,0.259654,-0.240498,-1.17177,1.21718,-0.0684106,0.107444,-1.60933
-0.188214,0.599269,0.249601,-0.250479,-1.19909,1.20148,-0.0483922,0.124903,-1.64786
-0.113942,0.591622,0.239549,-0.260459,-1.22642,1.18579,-0.0283739,0.142362,-1.68639
-0.0398272,0.583434,0.229497,-0.27044,-1.25375,1.17009,-0.00835574,0.15982,-1.72492
0.0338407,0.573711,0.219447,-0.280421,-1.28107,1.1544,0.0116622,0.177278,-1.76345
0.10638,0.560228,0.209399,-0.290398,-1.3084,1.13871,0.0316796,0.194735,-1.80198
0.176227,0.53765,0.199363,-0.30036,-1.33572,1.12302,0.0516957,0.212191,-1.84051
0.24217,0.504499,0.189366,-0.310277,-1.36303,1.10733,0.0717079,0.229644,-1.87904
0.306389,0.466742,0.17951,-0.320054,-1.39028,1.09166,0.0917085,0.247093,-1.91757
0.369425,0.426232,0.170046,-0.32944,-1.41738,1.076,0.111673,0.264538,-1.95612
0.430748,0.382373,0.161692,-0.337719,-1.44399,1.06042,0.131534,0.281977,-1.9947
0.487892,0.332213,0.155676,-0.343662,-1.46916,1.04506,0.151087,0.299504,-2.03335
0.535058,0.266643,0.155626,-0.343645,-1.49083,1.03024,0.169908,0.317216,-2.0722
0.559681,0.195606,0.154064,-0.345144,-1.5019,1.01705,0.186623,0.337452,-2.1114
0.560462,0.12211,0.149008,-0.350141,-1.50122,1.00587,0.201214,0.360771,-2.15086
0.551495,0.0477753,0.142443,-0.356651,-1.49572,0.995528,0.214931,0.385357,-2.19043
0.538449,-0.0268591,0.135219,-0.363827,-1.4882,0.985532,0.228285,0.410479,-2.23004
0.52396,-0.10159,0.127757,-0.371244,-1.47996,0.975661,0.241509,0.43579,-2.26966
0.508963,-0.176353,0.120213,-0.378749,-1.47148,0.965836,0.254689,0.461164,-2.30929
0.493798,-0.251125,0.112642,-0.386286,-1.46292,0.956028,0.267853,0.486557,-2.34893
0.478577,-0.325901,0.105064,-0.393835,-1.45433,0.946226,0.281011,0.511955,-2.38856
0.463338,-0.400678,0.0974841,-0.401392,-1.44574,0.936429,0.294168,0.537352,-2.42819
0.448093,-0.475456,0.0899052,-0.408953,-1.43715,0.926635,0.307323,0.562746,-2.46783
0.432846,-0.550235,0.0823277,-0.416519,-1.42856,0.916844,0.320478,0.588137,-2.50746
0.417598,-0.625016,0.0747519,-0.42409,-1.41997,0.907056,0.333631,0.613526,-2.54709
0.402348,-0.699797,0.0671777,-0.431665,-1.41139,0.897271,0.346784,0.63891,-2.58673
0.387098,-0.774579,0.0596052,-0.439244,-1.4028,0.887489,0.359936,0.664292,-2.62636
0.371847,-0.849362,0.0520344,-0.446829,-1.39422,0.87771,0.373088,0.68967,-2.66599
0.356593,-0.924146,0.0444655,-0.454419,-1.38564,0.867934,0.386238,0.715044,-2.70563
0.341329,-0.998928,0.0368983,-0.462013,-1.37707,0.858162,0.399388,0.740415,-2.74526
0.326039,-1.0737,0.029333,-0.469613,-1.3685,0.848393,0.412536,0.765783,-2.78489
0.310668,-1.14845,0.0217695,-0.477218,-1.35993,0.838628,0.425684,0.791146,-2.82453
0.295054,-1.22312,0.014208,-0.484828,-1.35136,0.828866,0.438831,0.816506,-2.86416
0.278763,-1.29755,0.00664869,-0.492444,-1.34279,0.819108,0.451977,0.841862,-2.90379
0.260665,-1.37132,-0.000907927,-0.500065,-1.33423,0.809353,0.465123,0.867214,-2.94343
0.238291,-1.44354,-0.00846085,-0.507692,-1.32567,0.799602,0.478267,0.892563,-2.98306
0.207362,-1.51238,-0.0160052,-0.515324,-1.31711,0.789854,0.49141,0.917908,-3.02269
0.170551,-1.57827,-0.0235458,-0.522962,-1.30856,0.78011,0.504553,0.943249,-3.06233
0.125123,-1.63888,-0.0310854,-0.530604,-1.30001,0.770369,0.517695,0.968587,-3.10196
0.0746736,-1.69598,-0.0386247,-0.53825,-1.29147,0.760631,0.530836,0.993923,-3.14159
