base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
1.01124,-2.23761,0.442964,0.33654,-0.361638,0.183244,0.178397,0.859501,2.87912e-06
1.01134,-2.1596,0.432988,0.32053,-0.37531,0.20075,0.175035,0.870784,-0.0392671
1.01145,-2.08159,0.423011,0.304519,-0.388981,0.218252,0.171672,0.882067,-0.0785371
1.01156,-2.00357,0.413035,0.288508,-0.402652,0.235745,0.168309,0.89335,-0.117807
1.01167,-1.92556,0.403059,0.272498,-0.416324,0.25321,0.164947,0.904633,-0.157077
1.01178,-1.84755,0.393082,0.256487,-0.429995,0.27061,0.161584,0.915916,-0.196347
1.01189,-1.76953,0.383106,0.240477,-0.443667,0.287849,0.158222,0.927199,-0.235617
1.01199,-1.69152,0.373129,0.224466,-0.457338,0.30492,0.154859,0.938482,-0.274887
1.0121,-1.61351,0.363153,0.208455,-0.471009,0.321922,0.151496,0.949765,-0.314157
1.01221,-1.53549,0.353177,0.192445,-0.484681,0.338895,0.148134,0.961048,-0.353427
1.01232,-1.45748,0.3432,0.176434,-0.498352,0.355859,0.144771,0.972331,-0.392697
1.01243,-1.37946,0.333224,0.160424,-0.512023,0.372818,0.141409,0.983614,-0.431967
1.01253,-1.30145,0.323248,0.144413,-0.525695,0.389777,0.138046,0.994897,-0.471237
1.01264,-1.22344,0.313271,0.128402,-0.539366,0.406735,0.134683,1.00618,-0.510507
1.01275,-1.14542,0.303295,0.112392,-0.553037,0.423693,0.131321,1.01746,-0.549777
1.01286,-1.06741,0.293318,0.0963813,-0.566709,0.440651,0.127958,1.02875,-0.589047
1.01297,-0.989396,0.283342,0.0803707,-0.58038,0.457609,0.124596,1.04003,-0.628317
1.01308,-0.911383,0.273366,0.0643601,-0.594052,0.474567,0.121233,1.05131,-0.667587
1.01318,-0.833369,0.263389,0.0483495,-0.607723,0.491525,0.11787,1.06259,-0.706857
1.01329,-0.755355,0.253413,0.0323389,-0.621394,0.508483,0.114508,1.07388,-0.746127
1.0134,-0.677342,0.243436,0.0163283,-0.635066,0.525441,0.111145,1.08516,-0.785397
1.01351,-0.599328,0.23346,0.000317745,-0.648737,0.542399,0.107782,1.09644,-0.824667
1.01362,-0.521314,0.223484,-0.0156928,-0.662408,0.559357,0.10442,1.10773,-0.863937
1.01372,-0.443301,0.213507,-0.0317034,-0.67608,0.576315,0.101057,1.11901,-0.903207
1.01383,-0.365287,0.203531,-0.047714,-0.689751,0.593273,0.0976947,1.13029,-0.942477
1.01394,-0.287273,0.193554,-0.0637246,-0.703423,0.610231,0.0943321,1.14158,-0.981747
1.01405,-0.20926,0.183578,-0.0797352,-0.717094,0.627188,0.0909695,1.15286,-1.02102
1.01416,-0.131246,0.173602,-0.0957458,-0.730765,0.644146,0.0876069,1.16414,-1.06029
1.01427,-0.0532326,0.163625,-0.111756,-0.744437,0.661104,0.0842443,1.17542,-1.09956
1.01437,0.0247811,0.153649,-0.127767,-0.758108,0.678062,0.0808817,1.18671,-1.13883
1.01448,0.102795,0.143672,-0.143778,-0.771779,0.69502,0.0775191,1.19799,-1.1781
1.01459,0.180808,0.133696,-0.159788,-0.785451,0.711978,0.0741565,1.20927,-1.21737
1.0147,0.258822,0.12372,-0.175799,-0.799122,0.728936,0.0707939,1.22056,-1.25664
1.01481,0.336836,0.113743,-0.191809,-0.812793,0.745894,0.0674313,1.23184,-1.29591
1.01492,0.414849,0.103767,-0.20782,-0.826465,0.762852,0.0640687,1.24312,-1.33518
1.01502,0.492863,0.0937905,-0.223831,-0.840136,0.77981,0.0607061,1.25441,-1.37445
1.01513,0.570877,0.0838142,-0.239841,-0.853808,0.796768,0.0573434,1.26569,-1.41372
1.01524,0.64889,0.0738378,-0.255852,-0.867479,0.813726,0.0539808,1.27697,-1.45299
1.01535,0.726904,0.0638614,-0.271862,-0.88115,0.830684,0.0506182,1.28825,-1.49226
1.01546,0.804918,0.053885,-0.287873,-0.894822,0.847642,0.0472556,1.29954,-1.53153
1.01556,0.882931,0.0439086,-0.303884,-0.908493,0.8646,0.043893,1.31082,-1.5708
