base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint
1.45886,1.3753,-1.30884,-2.13188,0.130014,0.399197,-2.10001,-1.5708,-0.299124
1.47761,1.36975,-1.30466,-2.12767,0.114138,0.396816,-2.08468,-1.57039,-0.294744
1.49636,1.36419,-1.30049,-2.12346,0.0982612,0.394434,-2.06935,-1.56999,-0.290365
1.5151,1.35864,-1.29632,-2.11924,0.0823849,0.392053,-2.05402,-1.56959,-0.285986
1.53385,1.35309,-1.29214,-2.11503,0.0665086,0.389672,-2.03869,-1.56919,-0.281606
1.5526,1.34753,-1.28797,-2.11082,0.0506322,0.38729,-2.02336,-1.56878,-0.277227
1.57134,1.34198,-1.2838,-2.1066,0.0347559,0.384909,-2.00803,-1.56838,-0.272847
1.59009,1.33643,-1.27963,-2.10239,0.0188796,0.382527,-1.9927,-1.56798,-0.268468
1.60884,1.33087,-1.27545,-2.09818,0.00300325,0.380146,-1.97737,-1.56758,-0.264088
1.62758,1.32532,-1.27128,-2.09397,-0.0128731,0.377765,-1.96204,-1.56717,-0.259709
1.64633,1.31977,-1.26711,-2.08975,-0.0287494,0.375383,-1.94671,-1.56677,-0.25533
1.66508,1.31421,-1.26294,-2.08554,-0.0446257,0.373002,-1.93138,-1.56637,-0.25095
1.68383,1.30866,-1.25876,-2.08133,-0.0605021,0.37062,-1.91605,-1.56597,-0.246571
1.70257,1.30311,-1.25459,-2.07712,-0.0763784,0.368239,-1.90073,-1.56556,-0.242191
1.72132,1.29755,-1.25042,-2.0729,-0.0922547,0.365857,-1.8854,-1.56516,-0.237812
1.74007,1.292,-1.24625,-2.06869,-0.108131,0.363476,-1.87007,-1.56476,-0.233432
1.75881,1.28645,-1.24207,-2.06448,-0.124007,0.361095,-1.85474,-1.56436,-0.229053
1.77756,1.28089,-1.2379,-2.06026,-0.139884,0.358713,-1.83941,-1.56395,-0.224673
1.79631,1.27534,-1.23373,-2.05605,-0.15576,0.356332,-1.82408,-1.56355,-0.220294
1.81505,1.26979,-1.22956,-2.05184,-0.171636,0.35395,-1.80875,-1.56315,-0.215915
1.8338,1.26423,-1.22538,-2.04763,-0.187513,0.351569,-1.79342,-1.56275,-0.211535
1.85255,1.25868,-1.22121,-2.04341,-0.203389,0.349188,-1.77809,-1.56234,-0.207156
1.8713,1.25313,-1.21704,-2.0392,-0.219265,0.346806,-1.76276,-1.56194,-0.202776
1.89004,1.24757,-1.21287,-2.03499,-0.235142,0.344425,-1.74743,-1.56154,-0.198397
1.90879,1.24202,-1.2087,-2.03078,-0.251018,0.342043,-1.7321,-1.56114,-0.194017
1.92754,1.23646,-1.20453,-2.02657,-0.266893,0.339661,-1.71678,-1.56073,-0.189638
1.9463,1.2309,-1.20037,-2.02237,-0.282766,0.337279,-1.70145,-1.56033,-0.185259
1.9651,1.22531,-1.19623,-2.01819,-0.298631,0.334894,-1.68613,-1.55994,-0.180879
1.98399,1.21965,-1.19217,-2.01409,-0.314471,0.332504,-1.67084,-1.55957,-0.1765
2.00315,1.21377,-1.18833,-2.01021,-0.33023,0.330103,-1.6556,-1.55924,-0.172122
2.0231,1.2073,-1.18512,-2.00696,-0.345763,0.32767,-1.64055,-1.55907,-0.167745
2.04482,1.19946,-1.18333,-2.00513,-0.360565,0.325287,-1.62587,-1.55923,-0.163371
2.07099,1.18821,-1.18509,-2.00685,-0.373811,0.322874,-1.61218,-1.56023,-0.159006
2.09949,1.17517,-1.18871,-2.01043,-0.381304,0.323286,-1.59824,-1.56143,-0.15464
2.129,1.16136,-1.19312,-2.0148,-0.386529,0.324794,-1.58422,-1.56274,-0.150273
2.15889,1.14725,-1.19784,-2.01947,-0.390732,0.32681,-1.57014,-1.56407,-0.145906
2.18892,1.13304,-1.20265,-2.02425,-0.394576,0.329006,-1.55605,-1.56541,-0.141539
2.21898,1.1188,-1.20751,-2.02907,-0.398292,0.331266,-1.54195,-1.56676,-0.137172
2.24907,1.10455,-1.21237,-2.03389,-0.401965,0.333547,-1.52785,-1.5681,-0.132805
2.27916,1.09029,-1.21724,-2.03872,-0.405625,0.335835,-1.51374,-1.56945,-0.128437
2.30925,1.07603,-1.22211,-2.04355,-0.409281,0.338125,-1.49964,-1.5708,-0.12407
