base_y_base_x,base_theta_base_y,base_link_base_theta,ur_arm_shoulder_pan_joint,ur_arm_shoulder_lift_joint,ur_arm_elbow_joint,ur_arm_wrist_1_joint,ur_arm_wrist_2_joint,ur_arm_wrist_3_joint,fridge_0001_dof_rootd_Aa002_r_joint
-0.112295,-1.82731,0.55688,0.403133,0.0462901,-0.708327,0.660064,-0.529992,0.00328592,-1.57
-0.0766117,-1.81411,0.553182,0.400821,0.0362962,-0.684576,0.646146,-0.492569,0.00340715,-1.52657
-0.0407868,-1.80223,0.549683,0.398707,0.0262075,-0.660736,0.632211,-0.454828,0.00355211,-1.48321
-0.00486213,-1.79168,0.546375,0.396782,0.0160257,-0.636809,0.618253,-0.416777,0.00372766,-1.43993
0.0311186,-1.78246,0.543248,0.395035,0.00575302,-0.6128,0.604264,-0.378427,0.00394329,-1.3967
0.0671099,-1.77459,0.540297,0.393459,-0.00460715,-0.588716,0.590234,-0.339783,0.0042129,-1.35353
0.103065,-1.76807,0.537516,0.392047,-0.0150503,-0.564565,0.576144,-0.300848,0.00455819,-1.3104
0.138936,-1.76289,0.534907,0.390802,-0.0255692,-0.540362,0.561969,-0.261592,0.00501414,-1.2673
0.17467,-1.75904,0.532498,0.389748,-0.0361519,-0.516133,0.547658,-0.221911,0.00564296,-1.22415
0.210193,-1.75645,0.530389,0.388985,-0.0467744,-0.49193,0.533114,-0.181439,0.00657181,-1.18081
0.245386,-1.75492,0.528833,0.388767,-0.0573811,-0.467874,0.518086,-0.139291,0.00811516,-1.13688
0.27996,-1.75389,0.528702,0.389962,-0.0677586,-0.44443,0.50164,-0.0924611,0.0114609,-1.09111
0.313678,-1.7525,0.530937,0.393513,-0.0765038,-0.424667,0.477187,-0.0379351,0.024861,-1.04237
0.342346,-1.75154,0.542033,0.405911,-0.09451,-0.384483,0.496619,0.0479557,-0.0167845,-0.979993
0.373477,-1.75478,0.542949,0.408118,-0.104518,-0.362251,0.476242,0.0951011,-0.00866505,-0.935966
0.404473,-1.76074,0.54121,0.407655,-0.115516,-0.337922,0.460178,0.132298,-0.00596282,-0.896565
0.435337,-1.76845,0.538036,0.405743,-0.126816,-0.313039,0.445185,0.164126,-0.00458423,-0.859652
0.46589,-1.77741,0.534419,0.403374,-0.138271,-0.287924,0.430596,0.194248,-0.00368655,-0.823544
0.496061,-1.78747,0.530654,0.400842,-0.149838,-0.26267,0.416232,0.223761,-0.00303919,-0.787733
0.525799,-1.79857,0.526858,0.398262,-0.161499,-0.23732,0.402019,0.253105,-0.00254536,-0.752012
0.555072,-1.81068,0.523063,0.395669,-0.173243,-0.211895,0.387918,0.282413,-0.0021555,-0.716316
0.583852,-1.8238,0.519277,0.393068,-0.185063,-0.186412,0.373908,0.31172,-0.00184007,-0.680623
0.612115,-1.83789,0.5155,0.39046,-0.196952,-0.160883,0.359978,0.341031,-0.00157995,-0.644925
0.639835,-1.85296,0.511725,0.387838,-0.208903,-0.135324,0.346122,0.370341,-0.00136217,-0.60922
0.666989,-1.86899,0.507949,0.385199,-0.220901,-0.109767,0.332347,0.399639,-0.00117749,-0.573506
0.693553,-1.88597,0.504166,0.382537,-0.232913,-0.0842785,0.318682,0.428917,-0.00101918,-0.537784
0.719505,-1.90388,0.50037,0.379847,-0.244853,-0.0590417,0.305217,0.458163,-0.000882242,-0.50205
0.744822,-1.9227,0.496556,0.377123,-0.256532,-0.0344442,0.29215,0.48737,-0.000762881,-0.466306
0.769488,-1.94241,0.492719,0.37436,-0.267496,-0.0114319,0.279966,0.516528,-0.000657888,-0.430548
0.793497,-1.96298,0.488853,0.371555,-0.277725,0.00997299,0.268667,0.545628,-0.000565239,-0.394776
0.816837,-1.98437,0.484954,0.368701,-0.287648,0.0306753,0.257774,0.57466,-0.000482919,-0.358991
0.839492,-2.00657,0.481015,0.365795,-0.297452,0.0510666,0.247082,0.603616,-0.000409425,-0.323191
0.861446,-2.02955,0.477033,0.362832,-0.307205,0.071295,0.236511,0.632485,-0.000343538,-0.287375
0.88268,-2.05329,0.473,0.359806,-0.316895,0.09133,0.226074,0.661259,-0.000284241,-0.251543
0.903183,-2.07777,0.468912,0.356714,-0.326444,0.111019,0.21585,0.689929,-0.000230691,-0.215693
0.922948,-2.10295,0.464764,0.35355,-0.335639,0.129928,0.206057,0.718487,-0.000182172,-0.179822
0.941985,-2.12879,0.460551,0.35031,-0.344013,0.147109,0.197175,0.746931,-0.000138079,-0.143926
0.960346,-2.15519,0.45627,0.346994,-0.350418,0.160234,0.190382,0.775262,-9.79037e-05,-0.107997
0.978042,-2.18212,0.451916,0.343598,-0.35484,0.169302,0.185668,0.803478,-6.11942e-05,-0.072032
0.995016,-2.20959,0.447484,0.340115,-0.358413,0.176631,0.181847,0.831561,-2.75077e-05,-0.0360329
1.01124,-2.23761,0.442964,0.33654,-0.361638,0.183244,0.178397,0.859501,2.87912e-06,-0
